PortOfEntryDistrict,CountryOfOrigin,ProductCode,DateDiff,Status,Product,SubIndustry,UseCase,ProductState,Source,SeafoodCategory,OriginCity,OriginContinent,SecondaryProcessingOriginCity,ProductType,VesselCheck,StorageCondition,IsSafe
Division of Southeast Imports,Thailand,16AGD73,2,Passed,MACKEREL,Fish,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Frozen,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AGT73,-1,Passed,MACKEREL,Fish,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Southeast Imports,Thailand,16AGD73,5,Passed,MACKEREL,Fish,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AEE33,-1,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AGT73,-1,Passed,MACKEREL,Fish,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Southeast Imports,Thailand,16AGN73,4,Passed,MACKEREL,Fish,"Plastic, Synth",Heat Treated,Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AGT73,2,Passed,MACKEREL,Fish,"Plastic, Synth",Packaged Food (Not Commercially Sterile),WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AEE33,-1,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AEE33,-1,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Acidified,No
Division of Northern Border Imports,Thailand,16AEE33,-1,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Acidified,No
Division of Northern Border Imports,Thailand,16AEE33,-2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Acidified,No
Division of Northern Border Imports,Thailand,16AEE33,-1,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Acidified,No
Division of Southeast Imports,Thailand,16AGD73,5,Passed,MACKEREL,Fish,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Acidified,No
Division of Northern Border Imports,Thailand,16AEE33,-2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Low Acid,No
Division of Southeast Imports,Thailand,16AGN73,5,Passed,MACKEREL,Fish,"Plastic, Synth",Heat Treated,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Low Acid,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Low Acid,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Low Acid,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AGD73,5,Passed,MACKEREL,Fish,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Northern Border Imports,Thailand,16AEE33,-1,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Northern Border Imports,Thailand,16AEE33,-2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Thailand,16AGN73,5,Passed,MACKEREL,Fish,"Plastic, Synth",Heat Treated,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Northern Border Imports,Thailand,16AEE33,0,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Northern Border Imports,Thailand,16AEE33,-2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Thailand,16AGN73,2,Passed,MACKEREL,Fish,"Plastic, Synth",Heat Treated,WildCatch,Other Fish,Muang Satun,Asia,Muang Satun,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Indonesia,16JEE05,4,Passed,SHRIMP,Crustaceans,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Belem,Asia,Medan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Indonesia,16JEE05,1,Passed,SHRIMP,Crustaceans,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Belem,Asia,Medan,Processed,YES,Acidified,No
Division of Southeast Imports,Spain,16CGT99,0,Declined,FISH,"Fish,Cakes,Balls,etc","Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Autol,Europe,Autol,Frozen,NO,Frozen,
Division of Southeast Imports,Spain,16XCB45,0,Passed,EEL,Aquaculture Harvested Fishery/Seafood Products,"Raw, Fresh, Refrigerated","Raw, Fresh, Ambient",Aquaculture,Other Fish,Autol,Europe,Autol,Frozen,NO,Frozen,
Division of Southeast Imports,Spain,16ACT45,0,Passed,TUNA,Fish,"Raw, Fresh, Refrigerated",Packaged Food (Not Commercially Sterile),WildCatch,Other Fish,Autol,Europe,Autol,Frozen,NO,Frozen,
Division of Southeast Imports,Spain,16ACT45,-1,Examined,TUNA,Fish,"Raw, Fresh, Refrigerated",Packaged Food (Not Commercially Sterile),WildCatch,Other Fish,Autol,Europe,Autol,Processed,NO,Contract Sterilizer,
Division of Southeast Imports,Spain,16ACT45,0,Passed,TUNA,Fish,"Raw, Fresh, Refrigerated",Packaged Food (Not Commercially Sterile),WildCatch,Other Fish,Autol,Europe,Autol,Frozen,NO,Refrigerated,
Division of Southeast Imports,Spain,16CGT99,-6,Passed,FISH,"Fish,Cakes,Balls,etc","Plastic, Synth",Packaged Food (Not Commercially Sterile),WildCatch,Other Fish,Autol,Europe,Autol,Processed,NO,Contract Sterilizer,
Division of West Coast Imports,Chile,16AEI73,-2,Passed,MACKEREL,Fish,Commercially Sterile,Acidified,Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AEE45,3,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AEE45,3,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AEE45,4,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,3,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AEE45,4,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AEE45,4,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,2,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Thailand,16AEE45,2,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AEE45,2,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16ADE99,0,Passed,FISH,Fish,Laminated,Commercially Sterile,Aquaculture,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AEE45,1,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northern Border Imports,Thailand,16AGE45,-2,Passed,TUNA,Fish,"Plastic, Synth",Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,10,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE32,4,Passed,SALMON,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,Aquaculture,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AEE45,0,Released,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Southeast Imports,Thailand,16AGE45,2,Passed,TUNA,Fish,"Plastic, Synth",Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,3,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AEE45,-1,Released,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AEE45,4,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AEE45,1,Declined,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AGE45,2,Passed,TUNA,Fish,"Plastic, Synth",Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,5,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AEE45,5,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AEE45,5,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AEE45,4,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,Thailand,16AVE45,1,Declined,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,5,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AEE45,1,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AEE45,1,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,Thailand,16AEE45,0,Passed,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,3,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,Thailand,16AVE45,1,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,3,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AEE45,-1,Examined,TUNA,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AVE45,4,Passed,TUNA,Fish,Vacuum or Modified Atmosphere Packaging,Commercially Sterile,WildCatch,Other Fish,Mueang Samut Prakan,Asia,Mueang Samut Prakan,Processed,YES,Contract Sterilizer,No
